Brand,Cups,Calories,% from sugar,% from fat,Carbo,Fat,Protein,Fiber,Potassium,Sodium,Sugars,Vitamins,Rating
100% Bran,0.33,70,34.28571429,12.85714286,5,1,4,10,280,130,6,25,68.402973
100% Natural Bran,1,120,26.66666667,37.5,8,5,3,2,135,15,8,0,33.983679
All-Bran,0.33,70,28.57142857,12.85714286,7,1,4,9,320,260,5,25,59.425505
All-Bran with Extra Fiber,0.5,50,0,0,8,0,4,14,330,140,0,25,93.704912
Almond Delight,0.75,110,29.09090909,16.36363636,14,2,2,1,-1,200,8,25,34.384843
Ancient Grains Cheerios,0.3,110,18.18181818,16.36363636,22,2,3,2,90,105,5,25,38.5
Apple Cinnamon Cheerios,0.75,110,36.36363636,16.36363636,10.5,2,2,1.5,70,180,10,25,29.509541
Apple Jacks,1,110,50.90909091,0,11,0,2,1,30,125,14,25,33.174094
Basic 4,0.75,130,24.61538462,13.84615385,18,2,3,2,100,210,8,25,37.038562
Bran Chex,0.67,90,26.66666667,10,15,1,2,4,125,200,6,25,49.120253
Bran Flakes,0.67,90,22.22222222,0,13,0,3,5,190,210,5,25,53.313813
Cap'n'Crunch,0.75,120,40,15,12,2,1,0,35,220,12,25,18.042851
Cheerios,1.25,110,3.636363636,16.36363636,17,2,6,2,105,290,1,25,50.764999
Cinnamon Toast Crunch,0.75,120,30,22.5,13,3,1,0,45,210,9,25,19.823573
Clusters,0.5,110,25.45454546,16.36363636,13,2,3,2,105,140,7,25,40.400208
Cocoa Crispies,0.8,121,39.66942149,5.950413223,27,1,1,0.4,61,131,12,25,
Cocoa Puffs,1,110,47.27272727,8.181818182,12,1,1,0,55,180,13,25,22.736446
Corn Chex,1,110,10.90909091,0,22,0,2,0,25,280,3,25,41.445019
Corn Flakes,1,100,8,0,21,0,2,1,35,290,2,25,45.863324
Corn Pops,1,110,43.63636364,0,13,0,1,1,20,90,12,25,35.782791
Count Chocula,0.75,100,36,18,23,2,1,1,55,130,9,25,22.396513
Cracklin' Oat Bran,0.5,110,25.45454546,24.54545455,10,3,3,4,160,140,7,25,40.448772
Cream of Wheat (Quick),1,120,0,0,21,0,3,1,1,80,0,0,64.533816
Crispix,1,110,10.90909091,0,21,0,2,1,30,220,3,25,46.895644
Crispy Wheat & Raisins,0.75,100,40,9,11,1,2,2,120,140,10,25,36.176196
Double Chex,0.75,100,20,0,18,0,2,1,80,190,5,25,44.330856
Fiber One,1.5,60,0,15,25,1,2,14.2,180,105,0,13,41.50354
Froot Loops,1,110,47.27272727,8.181818182,11,1,2,1,30,125,13,25,32.207582
Frosted Flakes,0.75,110,40,0,14,0,1,1,25,200,11,25,31.435973
Frosted Mini-Wheats,0.8,100,28,0,14,0,3,3,100,0,7,25,58.345141
"Fruit & Fibre Dates, Walnuts, and Oats",0.67,120,33.33333333,15,12,2,3,5,200,160,10,25,40.917047
Fruitful Bran,0.67,120,40,0,14,0,3,5,190,240,12,25,41.015492
Fruity Pebbles,0.75,110,43.63636364,8.181818182,13,1,1,0,25,135,12,25,28.025765
Golden Crisp,0.88,100,60,0,11,0,2,0,40,45,15,25,35.252444
Golden Grahams,0.75,110,32.72727273,8.181818182,15,1,1,0,45,280,9,25,23.804043
Grape Nuts Flakes,0.88,100,20,9,15,1,3,3,85,140,5,25,52.076897
Grape-Nuts,0.25,110,10.90909091,0,17,0,3,3,90,170,3,25,53.371007
Great Grains,0.7,190,21.05263158,16.57894737,37,4,4,4,,115,10,25,35
Great Grains Pecan,0.33,120,13.33333333,22.5,13,3,3,3,100,75,4,25,45.811716
Honey Graham Ohs,1,120,36.66666667,15,12,2,1,1,45,220,11,25,21.871292
Honey Nut Cheerios,0.75,110,36.36363636,8.181818182,11.5,1,3,1.5,90,250,10,25,31.072217
Honey-comb,1.33,110,40,0,14,0,1,0,35,180,11,25,28.742414
Just Right Crunchy  Nuggets,1,110,21.81818182,8.181818182,17,1,2,1,60,170,6,100,36.523683
Just Right Fruit & Nut,0.75,140,25.71428571,6.428571429,20,1,3,2,95,170,9,100,36.471512
Kix,1.5,110,10.90909091,8.181818182,21,1,2,0,40,260,3,25,39.241114
Life,0.67,100,24,18,12,2,4,2,95,150,6,25,45.328074
Lucky Charms,1,110,43.63636364,8.181818182,12,1,2,0,55,180,12,25,26.734515
Maypo,1,100,12,9,16,1,4,0,95,0,3,25,54.850917
"Muesli Raisins, Dates, & Almonds",1,150,29.33333333,18,16,3,4,3,170,95,11,25,37.136863
"Muesli Raisins, Peaches, & Pecans",1,150,29.33333333,18,16,3,4,3,170,150,11,25,34.139765
Mueslix Crispy Blend,0.67,160,32.5,11.25,17,2,3,3,160,150,13,25,30.313351
Multi-Grain Cheerios,1,100,24,9,15,1,2,2,90,220,6,25,40.105965
Nut&Honey Crunch,0.67,120,30,7.5,15,1,2,0,40,190,9,25,29.924285
Nutri-Grain Almond-Raisin,0.67,140,20,12.85714286,21,2,3,3,130,220,7,25,40.69232
Nutri-grain Wheat,1,90,8.888888889,0,18,0,3,3,90,170,2,25,59.642837
Oatmeal Raisin Crisp,0.5,130,30.76923077,13.84615385,13.5,2,3,1.5,120,170,10,25,30.450843
Post Nat. Raisin Bran,0.67,120,46.66666667,7.5,11,1,3,6,260,200,14,25,37.840594
Product 19,1,100,12,0,20,0,3,1,45,320,3,100,41.50354
Puffed Rice,1,50,0,0,13,0,1,0,15,0,0,0,60.756112
Puffed Wheat,1,50,0,0,10,0,2,1,50,0,0,0,63.005645
Quaker Oat Squares,0.5,100,24,9,14,1,4,2,110,135,6,25,49.511874
Quaker Oatmeal,0.67,100,-4,18,-1,2,5,2.7,110,0,-1,0,50.828392
Raisin Bran,0.75,120,40,7.5,14,1,3,5,240,210,12,25,39.259197
Raisin Nut Bran,0.5,100,32,18,10.5,2,3,2.5,140,140,8,25,39.7034
Raisin Squares,0.5,90,26.66666667,0,15,0,2,2,110,0,6,25,55.333142
Rice Chex,1.13,110,7.272727273,0,23,0,1,0,30,240,2,25,41.998933
Rice Krispies,1,110,10.90909091,0,22,0,2,0,35,290,3,25,40.560159
