State,Favourite Cereal
Alabama,Special K
Alaska,Shredded Wheat
Arizona,Rice Krispies
Arkansas,Raisin Bran
California,Special K
Colorado,Cinnamon Toast Crunch
Connecticut,Cinnamon Toast Crunch
Delaware,Special K
District of Columbia,Vanilla Coconut
Florida,Special K
Georgia,Ancient Grains Cheerios
Hawaii,Great Grains
Idaho,Quaker Oatmeal Squares
Illinois,Special K
Indiana,All Bran
Iowa,Special K
Kansas,Rice Krispies
Kentucky,Fiber One
Louisiana,Cocoa Crispies
Maine,Oreo O's
Maryland,Fiber One
Massachusetts,Thin Mint Cereal
Michigan,Special K
Minnesota,Cinnamon Toast Crunch
Mississippi,Thin Mint Cereal
Missouri,Nature Valley
Montana,Kashi
Nebraska,Cap'n'Crunch
Nevada,Cascade Farms
New Hampshire,Rice Krispies
New Jersey,Ancient Grains Cheerios
New Mexico,Special K
New York,Special K
North Carolina,Fiber One
North Dakota,Oreo O's
Ohio,Ancient Grains Cheerios
Oklahoma,Special K
Oregon,Honey Nut Cheerios
Pennsylvania,Special K
Rhode Island,Rice Krispies
South Carolina,Special K
South Dakota,Cocoa Crispies
Tennessee,Cheerios
Texas,Special K
Utah,Special K
Vermont,Special K
Virginia,Special K
Washington,Maypo
West Virginia,Count Chocula
Wisconsin,Fiber One
Wyoming,Ancient Grains Cheerios
