YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,32.3,,,,Male,,,"(32.84057112200048, -86.63186076199969)",Male,GEN,MALE
2011,2011,AK,Alaska,28,,,,Male,,,"(64.84507995700051, -147.72205903599973)",Male,GEN,MALE
2011,2011,AZ,Arizona,24.4,,,,Male,,,"(34.865970280000454, -111.76381127699972)",Male,GEN,MALE
2011,2011,AR,Arkansas,30.7,,,,Male,,,"(34.74865012400045, -92.27449074299966)",Male,GEN,MALE
2011,2011,CA,California,23.1,,,,Male,,,"(37.63864012300047, -120.99999953799971)",Male,GEN,MALE
2011,2011,CO,Colorado,21.1,,,,Male,,,"(38.843840757000464, -106.13361092099967)",Male,GEN,MALE
2011,2011,CT,Connecticut,25.4,,,,Male,,,"(41.56266102000046, -72.64984095199964)",Male,GEN,MALE
2011,2011,DE,Delaware,29,,,,Male,,,"(39.008830667000495, -75.57774116799965)",Male,GEN,MALE
2011,2011,DC,District of Columbia,18.6,,,,Male,,,"(38.89037138500049, -77.03196112699965)",Male,GEN,MALE
2011,2011,FL,Florida,27.7,,,,Male,,,"(28.932040377000476, -81.92896053899966)",Male,GEN,MALE
2011,2011,GA,Georgia,26.7,,,,Male,,,"(32.83968109300048, -83.62758034599966)",Male,GEN,MALE
2011,2011,HI,Hawaii,24.4,,,,Male,,,"(21.304850435000446, -157.85774940299973)",Male,GEN,MALE
2011,2011,ID,Idaho,26.2,,,,Male,,,"(43.682630005000476, -114.3637300419997)",Male,GEN,MALE
2011,2011,IL,Illinois,27.7,,,,Male,,,"(40.48501028300046, -88.99771017799969)",Male,GEN,MALE
2011,2011,IN,Indiana,30.9,,,,Male,,,"(39.766910452000445, -86.14996019399968)",Male,GEN,MALE
2011,2011,IA,Iowa,30.4,,,,Male,,,"(42.46940091300047, -93.81649055599968)",Male,GEN,MALE
2011,2011,KS,Kansas,30,,,,Male,,,"(38.34774030000045, -98.20078122699965)",Male,GEN,MALE
2011,2011,KY,Kentucky,29.6,,,,Male,,,"(37.645970271000465, -84.77497104799966)",Male,GEN,MALE
2011,2011,LA,Louisiana,33,,,,Male,,,"(31.31266064400046, -92.44568007099969)",Male,GEN,MALE
2011,2011,ME,Maine,28.1,,,,Male,,,"(45.254228894000505, -68.98503133599962)",Male,GEN,MALE
2011,2011,MD,Maryland,28.7,,,,Male,,,"(39.29058096400047, -76.60926011099963)",Male,GEN,MALE
2011,2011,MA,Massachusetts,24.1,,,,Male,,,"(42.27687047000046, -72.08269067499964)",Male,GEN,MALE
2011,2011,MI,Michigan,31.9,,,,Male,,,"(44.6613195430005, -84.71439026999968)",Male,GEN,MALE
2011,2011,MN,Minnesota,28.4,,,,Male,,,"(46.35564873600049, -94.79420050299967)",Male,GEN,MALE
2011,2011,MS,Mississippi,32.4,,,,Male,,,"(32.745510099000455, -89.53803082499968)",Male,GEN,MALE
2011,2011,MO,Missouri,29.8,,,,Male,,,"(38.635790776000476, -92.56630005299968)",Male,GEN,MALE
2011,2011,MT,Montana,25.8,,,,Male,,,"(47.06652897200047, -109.42442064499971)",Male,GEN,MALE
2011,2011,US,National,27.8,,,,Male,,,,Male,GEN,MALE
2011,2011,NE,Nebraska,29.2,,,,Male,,,"(41.6410409880005, -99.36572062299967)",Male,GEN,MALE
2011,2011,NV,Nevada,25.5,,,,Male,,,"(39.493240390000494, -117.07184056399967)",Male,GEN,MALE
2011,2011,NH,New Hampshire,28.3,,,,Male,,,"(43.65595011300047, -71.50036091999965)",Male,GEN,MALE
2011,2011,NJ,New Jersey,25.6,,,,Male,,,"(40.13057004800049, -74.27369128799967)",Male,GEN,MALE
2011,2011,NM,New Mexico,26.3,,,,Male,,,"(34.52088095200048, -106.24058098499967)",Male,GEN,MALE
2011,2011,NY,New York,25.3,,,,Male,,,"(42.82700103200045, -75.54397042699964)",Male,GEN,MALE
2011,2011,NC,North Carolina,28.3,,,,Male,,,"(35.466220975000454, -79.15925046299964)",Male,GEN,MALE
2011,2011,ND,North Dakota,30,,,,Male,,,"(47.47531977900047, -100.11842104899966)",Male,GEN,MALE
2011,2011,OH,Ohio,31.6,,,,Male,,,"(40.06021014100048, -82.40426005599966)",Male,GEN,MALE
2011,2011,OK,Oklahoma,30.6,,,,Male,,,"(35.47203135600046, -97.52107021399968)",Male,GEN,MALE
2011,2011,OR,Oregon,26.3,,,,Male,,,"(44.56744942400047, -120.15503132599969)",Male,GEN,MALE
2011,2011,PA,Pennsylvania,29.5,,,,Male,,,"(40.79373015200048, -77.86070029399963)",Male,GEN,MALE
2011,2011,RI,Rhode Island,27.6,,,,Male,,,"(41.70828019300046, -71.52247031399963)",Male,GEN,MALE
2011,2011,SC,South Carolina,28.6,,,,Male,,,"(33.998821303000454, -81.04537120699968)",Male,GEN,MALE
2011,2011,SD,South Dakota,29.9,,,,Male,,,"(44.353130053000484, -100.3735306369997)",Male,GEN,MALE
2011,2011,TN,Tennessee,28,,,,Male,,,"(35.68094058000048, -85.77449091399967)",Male,GEN,MALE
2011,2011,TX,Texas,30.9,,,,Male,,,"(31.827240407000488, -99.42677020599967)",Male,GEN,MALE
2011,2011,UT,Utah,25.8,,,,Male,,,"(39.360700171000474, -111.58713063499971)",Male,GEN,MALE
2011,2011,VT,Vermont,27.3,,,,Male,,,"(43.62538123900049, -72.51764079099962)",Male,GEN,MALE
2011,2011,VA,Virginia,29.7,,,,Male,,,"(37.54268067400045, -78.45789046299967)",Male,GEN,MALE
2011,2011,WA,Washington,27.9,,,,Male,,,"(47.52227862900048, -120.47001078999972)",Male,GEN,MALE
2011,2011,WV,West Virginia,30.7,,,,Male,,,"(38.66551020200046, -80.71264013499967)",Male,GEN,MALE
