Brand,Manufacturer,Serve,Type,% from sugar,% of calories from fat,Calories,Carbo,Cups,Fat,Fiber,Potassium,Protein,Rating,Shelf,Sodium,Sugars,Vitamins,Weight
100% Bran,Nabisco,C,Health,34.28571429,12.85714286,70,5,0.33,1,10,280,4,68.402973,3,130,6,25,1
100% Natural Bran,Quaker,C,Health,26.66666667,37.5,120,8,1,5,2,135,3,33.983679,3,15,8,0,1
All-Bran,Kellogg,C,Health,28.57142857,12.85714286,70,7,0.33,1,9,320,4,59.425505,3,260,5,25,1
All-Bran with Extra Fiber,Kellogg,C,Health,0,0,50,8,0.5,0,14,330,4,93.704912,3,140,0,25,1
Almond Delight,Ralston,C,Regular,29.09090909,16.36363636,110,14,0.75,2,1,-1,2,34.384843,3,200,8,25,1
Ancient Grains Cheerios,General Mills,C,Regular,18.18181818,16.36363636,110,22,0.3,2,2,90,3,38.5,2,105,5,25,28
Apple Cinnamon Cheerios,General Mills,C,Regular,36.36363636,16.36363636,110,10.5,0.75,2,1.5,70,2,29.509541,1,180,10,25,1
Apple Jacks,Kellogg,C,Regular,50.90909091,0,110,11,1,0,1,30,2,33.174094,2,125,14,25,1
Basic 4,General Mills,C,Regular,24.61538462,13.84615385,130,18,0.75,2,2,100,3,37.038562,3,210,8,25,1.33
Bran Chex,Ralston,C,Regular,26.66666667,10,90,15,0.67,1,4,125,2,49.120253,1,200,6,25,1
Bran Flakes,Post,C,Health,22.22222222,0,90,13,0.67,0,5,190,3,53.313813,3,210,5,25,1
Cap'n'Crunch,Quaker,C,Kids,40,15,120,12,0.75,2,0,35,1,18.042851,2,220,12,25,1
Cheerios,General Mills,C,Kids,3.636363636,16.36363636,110,17,1.25,2,2,105,6,50.764999,1,290,1,25,1
Cinnamon Toast Crunch,General Mills,C,Kids,30,22.5,120,13,0.75,3,0,45,1,19.823573,2,210,9,25,1
Clusters,General Mills,C,Kids,25.45454546,16.36363636,110,13,0.5,2,2,105,3,40.400208,3,140,7,25,1
Cocoa Crispies,Kellogg,C,Kids,39.66942149,5.950413223,121,27,0.8,1,0.4,61,1,,2,131,12,25,31
Cocoa Puffs,General Mills,C,Kids,47.27272727,8.181818182,110,12,1,1,0,55,1,22.736446,2,180,13,25,1
Corn Chex,Ralston,C,Regular,10.90909091,0,110,22,1,0,0,25,2,41.445019,1,280,3,25,1
Corn Flakes,Kellogg,C,Regular,8,0,100,21,1,0,1,35,2,45.863324,1,290,2,25,1
Corn Pops,Kellogg,C,Kids,43.63636364,0,110,13,1,0,1,20,1,35.782791,2,90,12,25,1
Count Chocula,General Mills,C,Kids,36,18,100,23,0.75,2,1,55,1,22.396513,2,130,9,25,27
Cracklin' Oat Bran,Kellogg,C,Health,25.45454546,24.54545455,110,10,0.5,3,4,160,3,40.448772,3,140,7,25,1
Cream of Wheat (Quick),Nabisco,H,Health,0,0,120,21,1,0,1,1,3,64.533816,2,80,0,0,1
Crispix,Kellogg,C,Health,10.90909091,0,110,21,1,0,1,30,2,46.895644,3,220,3,25,1
Crispy Wheat & Raisins,General Mills,C,Health,40,9,100,11,0.75,1,2,120,2,36.176196,3,140,10,25,1
Double Chex,Ralston,C,Regular,20,0,100,18,0.75,0,1,80,2,44.330856,3,190,5,25,1
Fiber One,General Mills,C,Health,0,15,60,25,1.5,1,14.2,180,2,41.50354,2,105,0,13,30
Froot Loops,Kellogg,C,Kids,47.27272727,8.181818182,110,11,1,1,1,30,2,32.207582,2,125,13,25,1
Frosted Flakes,Kellogg,C,Kids,40,0,110,14,0.75,0,1,25,1,31.435973,1,200,11,25,1
Frosted Mini-Wheats,Kellogg,C,Kids,28,0,100,14,0.8,0,3,100,3,58.345141,2,0,7,25,1
"Fruit & Fibre Dates, Walnuts, and Oats",Post,C,Health,33.33333333,15,120,12,0.67,2,5,200,3,40.917047,3,160,10,25,1.25
Fruitful Bran,Kellogg,C,Health,40,0,120,14,0.67,0,5,190,3,41.015492,3,240,12,25,1.33
Fruity Pebbles,Post,C,Kids,43.63636364,8.181818182,110,13,0.75,1,0,25,1,28.025765,2,135,12,25,1
Golden Crisp,Post,C,Kids,60,0,100,11,0.88,0,0,40,2,35.252444,1,45,15,25,1
Golden Grahams,General Mills,C,Regular,32.72727273,8.181818182,110,15,0.75,1,0,45,1,23.804043,2,280,9,25,1
Grape Nuts Flakes,Post,C,Health,20,9,100,15,0.88,1,3,85,3,52.076897,3,140,5,25,1
Grape-Nuts,Post,C,Health,10.90909091,0,110,17,0.25,0,3,90,3,53.371007,3,170,3,25,1
Great Grains,Post,C,Health,21.05263158,16.57894737,190,37,0.7,4,4,,4,35,3,115,10,25,50
Great Grains Pecan,Post,C,Health,13.33333333,22.5,120,13,0.33,3,3,100,3,45.811716,3,75,4,25,1
Honey Graham Ohs,Quaker,C,Kids,36.66666667,15,120,12,1,2,1,45,1,21.871292,2,220,11,25,1
Honey Nut Cheerios,General Mills,C,Kids,36.36363636,8.181818182,110,11.5,0.75,1,1.5,90,3,31.072217,1,250,10,25,1
Honey-comb,Post,C,Kids,40,0,110,14,1.33,0,0,35,1,28.742414,1,180,11,25,1
Just Right Crunchy  Nuggets,Kellogg,C,Regular,21.81818182,8.181818182,110,17,1,1,1,60,2,36.523683,3,170,6,100,1
Just Right Fruit & Nut,Kellogg,C,Regular,25.71428571,6.428571429,140,20,0.75,1,2,95,3,36.471512,3,170,9,100,1.3
Kix,General Mills,C,Kids,10.90909091,8.181818182,110,21,1.5,1,0,40,2,39.241114,2,260,3,25,1
Life,Quaker,C,Diet,24,18,100,12,0.67,2,2,95,4,45.328074,2,150,6,25,1
Lucky Charms,General Mills,C,Kids,43.63636364,8.181818182,110,12,1,1,0,55,2,26.734515,2,180,12,25,1
Maypo,Homestat,H,Regular,12,9,100,16,1,1,0,95,4,54.850917,2,0,3,25,1
"Muesli Raisins, Dates, & Almonds",Ralston,C,Health,29.33333333,18,150,16,1,3,3,170,4,37.136863,3,95,11,25,1
"Muesli Raisins, Peaches, & Pecans",Ralston,C,Health,29.33333333,18,150,16,1,3,3,170,4,34.139765,3,150,11,25,1
Mueslix Crispy Blend,Kellogg,C,Health,32.5,11.25,160,17,0.67,2,3,160,3,30.313351,3,150,13,25,1.5
Multi-Grain Cheerios,General Mills,C,Health,24,9,100,15,1,1,2,90,2,40.105965,1,220,6,25,1
Nut&Honey Crunch,Kellogg,C,Regular,30,7.5,120,15,0.67,1,0,40,2,29.924285,2,190,9,25,1
Nutri-Grain Almond-Raisin,Kellogg,C,Health,20,12.85714286,140,21,0.67,2,3,130,3,40.69232,3,220,7,25,1.33
Nutri-grain Wheat,Kellogg,C,Health,8.888888889,0,90,18,1,0,3,90,3,59.642837,3,170,2,25,1
Oatmeal Raisin Crisp,General Mills,C,Regular,30.76923077,13.84615385,130,13.5,0.5,2,1.5,120,3,30.450843,3,170,10,25,1.25
Post Nat. Raisin Bran,Post,C,Regular,46.66666667,7.5,120,11,0.67,1,6,260,3,37.840594,3,200,14,25,1.33
Product 19,Kellogg,C,Health,12,0,100,20,1,0,1,45,3,41.50354,3,320,3,100,1
Puffed Rice,Quaker,C,Regular,0,0,50,13,1,0,0,15,1,60.756112,3,0,0,0,0.5
Puffed Wheat,Quaker,C,Regular,0,0,50,10,1,0,1,50,2,63.005645,3,0,0,0,0.5
Quaker Oat Squares,Quaker,C,Health,24,9,100,14,0.5,1,2,110,4,49.511874,3,135,6,25,1
Quaker Oatmeal,Quaker,H,Health,-4,18,100,-1,0.67,2,2.7,110,5,50.828392,1,0,-1,0,1
Raisin Bran,Kellogg,C,Regular,40,7.5,120,14,0.75,1,5,240,3,39.259197,2,210,12,25,1.33
Raisin Nut Bran,General Mills,C,Regular,32,18,100,10.5,0.5,2,2.5,140,3,39.7034,3,140,8,25,1
Raisin Squares,Kellogg,C,Regular,26.66666667,0,90,15,0.5,0,2,110,2,55.333142,3,0,6,25,1
Rice Chex,Ralston,C,Regular,7.272727273,0,110,23,1.13,0,0,30,1,41.998933,1,240,2,25,1
Rice Krispies,Kellogg,C,Kids,10.90909091,0,110,22,1,0,0,35,2,40.560159,1,290,3,25,1
Shredded Wheat,Nabisco,C,Health,0,0,80,16,1,0,3,95,2,68.235885,1,0,0,0,0.83
Shredded Wheat 'n'Bran,Nabisco,C,Health,0,0,90,19,0.67,0,4,140,3,74.472949,1,0,0,0,1
Shredded Wheat spoon size,Nabisco,C,Health,0,0,90,20,0.67,0,3,120,3,72.801787,1,0,0,0,1
Smacks,Kellogg,C,Kids,54.54545455,8.181818182,110,9,0.75,1,1,40,2,31.230054,2,70,15,25,1
Special K,Kellogg,C,Diet,10.90909091,0,110,16,1,0,1,55,6,53.131324,1,230,3,25,1
Strawberry Fruit Wheats,Nabisco,C,Regular,22.22222222,0,90,15,1,0,3,90,2,59.363993,2,15,5,25,1
Thin Mint Cereal,Girl Scouts,C,Kids,30,22.5,120,22,0.8,3,1,70,1,42,3,90,9,15,28
Total Corn Flakes,General Mills,C,Regular,10.90909091,8.181818182,110,21,1,1,0,35,2,38.839746,3,200,3,100,1
Total Raisin Bran,General Mills,C,Regular,40,6.428571429,140,15,1,1,4,230,3,28.592785,3,190,14,100,1.5
Total Whole Grain,General Mills,C,Health,12,9,100,16,1,1,3,110,3,46.658844,3,200,3,100,1
Triples,General Mills,C,Regular,10.90909091,8.181818182,110,21,0.75,1,0,60,2,39.106174,3,250,3,25,1
Trix,General Mills,C,Kids,43.63636364,8.181818182,110,13,1,1,0,25,1,27.753301,2,140,12,25,1
Vanilla Coconut,Ketologie,C,Health,3.333333333,60,120,2,0.7,8,6,0,8,,,60,1,7,60
Wheat Chex,Ralston,C,Regular,12,9,100,17,0.67,1,3,115,3,49.787445,1,230,3,25,1
Wheaties,General Mills,C,Health,12,9,100,17,1,1,3,110,3,51.592193,1,200,3,25,1
Wheaties Honey Gold,General Mills,C,Health,29.09090909,8.181818182,110,16,0.75,1,1,60,2,36.187559,1,200,8,25,1
