LocationDesc,GeoLocation,Favourite
Alabama,"(32.84057112200048, -86.63186076199969)",Special K
Alaska,"(64.84507995700051, -147.72205903599973)",Shredded Wheat
Arizona,"(34.865970280000454, -111.76381127699972)",Rice Krispies
Arkansas,"(34.74865012400045, -92.27449074299966)",Raisin Bran
California,"(37.63864012300047, -120.99999953799971)",Special K
Colorado,"(38.843840757000464, -106.13361092099967)",Cinnamon Toast Crunch
Connecticut,"(41.56266102000046, -72.64984095199964)",Cinnamon Toast Crunch
Delaware,"(39.008830667000495, -75.57774116799965)",Special K
District of Columbia,"(38.89037138500049, -77.03196112699965)",Vanilla Coconut
Florida,"(28.932040377000476, -81.92896053899966)",Special K
Georgia,"(32.83968109300048, -83.62758034599966)",Ancient Grains Cheerios
Hawaii,"(21.304850435000446, -157.85774940299973)",Great Grains
Idaho,"(43.682630005000476, -114.3637300419997)",Quaker Oatmeal Squares
Illinois,"(40.48501028300046, -88.99771017799969)",Special K
Indiana,"(39.766910452000445, -86.14996019399968)",All Bran
Iowa,"(42.46940091300047, -93.81649055599968)",Special K
Kansas,"(38.34774030000045, -98.20078122699965)",Rice Krispies
Kentucky,"(37.645970271000465, -84.77497104799966)",Fiber One
Louisiana,"(31.31266064400046, -92.44568007099969)",Cocoa Crispies
Maine,"(45.254228894000505, -68.98503133599962)",Oreo O's
Maryland,"(39.29058096400047, -76.60926011099963)",Fiber One
Massachusetts,"(42.27687047000046, -72.08269067499964)",Thin Mint Cereal
Michigan,"(44.6613195430005, -84.71439026999968)",Special K
Minnesota,"(46.35564873600049, -94.79420050299967)",Cinnamon Toast Crunch
Mississippi,"(32.745510099000455, -89.53803082499968)",Thin Mint Cereal
Missouri,"(38.635790776000476, -92.56630005299968)",Nature Valley
Montana,"(47.06652897200047, -109.42442064499971)",Kashi
Nebraska,"(41.6410409880005, -99.36572062299967)",Captain Crunch
Nevada,"(39.493240390000494, -117.07184056399967)",Cascade Farms
New Hampshire,"(43.65595011300047, -71.50036091999965)",Rice Krispies
New Jersey,"(40.13057004800049, -74.27369128799967)",Ancient Grains Cheerios
New Mexico,"(34.52088095200048, -106.24058098499967)",Special K
New York,"(42.82700103200045, -75.54397042699964)",Special K
North Carolina,"(35.466220975000454, -79.15925046299964)",Fiber One
North Dakota,"(47.47531977900047, -100.11842104899966)",Oreo O's
Ohio,"(40.06021014100048, -82.40426005599966)",Ancient Grains Cheerios
Oklahoma,"(35.47203135600046, -97.52107021399968)",Special K
Oregon,"(44.56744942400047, -120.15503132599969)",Honey Nut Cheerios
Pennsylvania,"(40.79373015200048, -77.86070029399963)",Special K
Rhode Island,"(41.70828019300046, -71.52247031399963)",Rice Krispies
South Carolina,"(33.998821303000454, -81.04537120699968)",Special K
South Dakota,"(44.353130053000484, -100.3735306369997)",Cocoa Crispies
Tennessee,"(35.68094058000048, -85.77449091399967)",Cheerios
Texas,"(31.827240407000488, -99.42677020599967)",Special K
Utah,"(39.360700171000474, -111.58713063499971)",Special K
Vermont,"(43.62538123900049, -72.51764079099962)",Special K
Virginia,"(37.54268067400045, -78.45789046299967)",Special K
Washington,"(47.52227862900048, -120.47001078999972)",Maypo
West Virginia,"(38.66551020200046, -80.71264013499967)",Count Chocula
Wisconsin,"(44.39319117400049, -89.81637074199966)",Fiber One
Wyoming,"(43.23554134300048, -108.10983035299967)",Ancient Grains Cheerios
